SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
505533,WESTLIFE DEV,B ,Q,367.00,370.00,360.25,367.50,369.00,363.85,421,8766,3210160.00,
505537,ZEE ENTER   ,A ,Q,464.00,470.00,457.65,462.50,462.50,465.15,2643,194911,90075865.00,
505576,GOLDCORP    ,X ,Q,60.80,67.20,60.80,67.20,67.20,64.00,2,11,675.00,
505590,SVPGLOB     ,X ,Q,284.90,292.00,280.10,282.00,282.00,279.95,82,9748,2792526.00,
505650,SKYL MILLAR ,XT,Q,4.16,4.16,4.16,4.16,4.16,4.37,22,20051,83412.00,
505681,BIMETAL BEAR,X ,Q,520.00,537.85,520.00,533.90,533.90,519.10,39,939,500114.00,
505688,BHARAT GEARS,B ,Q,167.45,174.90,165.50,168.95,168.50,165.55,176,7811,1335788.00,
505693,LATIMMETAL  ,XT,Q,46.40,46.40,46.40,46.40,46.40,46.50,1,1,46.00,
505700,ELECON ENG  ,B ,Q,68.00,70.00,66.20,68.85,68.85,66.45,519,47258,3235100.00,
505710,GRAUER& WEIL,B ,Q,53.50,53.50,52.00,52.65,52.65,53.70,575,84144,4435104.00,
505712,HIMTEK      ,X ,Q,172.00,172.00,167.50,170.55,170.00,172.70,9,125,21277.00,
505714,GABRIEL(I)  ,B ,Q,132.20,135.90,132.20,134.95,135.25,134.40,90,2904,392157.00,
505720,HERC.HOISTS ,B ,Q,104.90,106.80,102.20,103.70,103.10,102.70,49,1128,117733.00,
505726,IFB IND.LTD.,B ,Q,860.35,860.35,843.05,851.50,853.75,854.35,18,99,84519.00,
505729,SINGER INDIA,X ,Q,41.50,41.90,39.75,41.30,40.90,41.30,92,21954,902647.00,
505737,INTER.COMBUS,X ,Q,286.20,295.90,286.20,288.00,288.00,287.55,12,133,38291.00,
505744,FED MOG GOE ,B ,Q,476.35,479.10,470.30,473.25,473.25,479.80,96,218,103506.00,
505750,JOSTS ENG.  ,X ,Q,740.00,740.00,725.00,725.00,725.00,718.00,7,37,27280.00,
505790,SCHAEFFLER  ,A ,Q,5453.90,5525.00,5453.90,5519.55,5520.00,5492.75,59,25143,138288957.00,
505800,RANE HOLDIN ,B ,Q,1325.00,1385.00,1325.00,1366.30,1366.30,1305.80,112,437,595047.00,
505827,SNL BEARINGS,X ,Q,346.00,389.65,346.00,365.00,365.00,349.00,41,1300,473386.00,
505840,JAIPAN INDUS,XT,Q,21.15,22.65,21.15,22.65,22.65,22.20,9,725,16040.00,
505854,TRF LTD.    ,B ,Q,115.20,121.00,115.20,118.75,119.60,119.00,62,2838,338482.00,
505872,WPIL LTD.   ,X ,Q,885.00,885.00,851.00,857.15,864.00,862.05,82,2588,2233053.00,
505890,KENNAMETAL  ,B ,Q,1043.00,1088.00,1043.00,1057.40,1057.40,1063.25,332,3769,4026490.00,
505978,TRITON VALVE,X ,Q,1170.00,1170.00,1155.25,1170.00,1170.00,1163.20,46,3619,4233351.00,
506003,SUDAL INDUS ,XT,Q,3.96,3.96,3.96,3.96,3.96,3.78,1,500,1980.00,
506016,JRIIIL      ,Z ,Q,0.59,0.59,0.59,0.59,0.59,0.59,1,20,11.00,
506022,PRAKASH IND.,B ,Q,83.70,86.10,83.65,84.75,84.75,84.65,820,110428,9371892.00,
506027,BHORUKA ALU.,X ,Q,0.85,0.85,0.82,0.82,0.82,0.81,2,100,83.00,
506074,ARSHIYA     ,B ,Q,27.75,30.35,25.75,25.90,25.90,27.55,658,88092,2390472.00,
506076,GRIND NORTON,B ,Q,556.90,560.00,546.50,550.15,550.15,551.15,186,2136,1184016.00,
506079,LAKSHMI PREC,Z ,Q,11.20,11.25,11.20,11.20,11.20,11.50,4,700,7840.00,
506109,GENESYS INT.,B ,Q,133.00,159.50,132.50,157.75,157.75,132.95,796,29708,4570776.00,
506122,PANKAJPIYUS ,X ,Q,54.25,54.25,54.25,54.25,54.25,56.50,2,160,8680.00,
506128,PARNAXLAB   ,XT,Q,47.30,47.75,45.00,45.05,45.05,47.30,12,747,34041.00,
506142,VYAPAR INDS ,XT,Q,33.30,33.30,33.30,33.30,33.30,31.75,1,3,99.00,
506146,VISAGAR POL ,B ,Q,0.75,0.78,0.74,0.76,0.78,0.77,34,25444,19301.00,
506186,GALAXY ENTER,XT,Q,30.75,32.00,30.75,32.00,32.00,30.75,5,170,5365.00,
506194,ARIH SUPER  ,B ,Q,60.60,61.85,59.50,60.95,61.00,59.50,73,14028,849854.00,
506197,BLISSGVS PH ,B ,Q,146.75,152.00,145.30,146.45,147.95,146.60,811,82558,12192432.00,
506222,INEOSSTYRO  ,B ,Q,681.05,690.00,681.05,690.00,690.00,689.95,7,46,31676.00,
506235,ALEMBIC LTD.,B ,Q,48.95,51.80,48.10,48.35,48.35,45.35,2421,298895,14726380.00,
506248,AMINES&PLAST,X ,Q,37.85,38.40,37.50,37.65,37.60,37.85,27,2944,110890.00,
506260,ANUH PHARMA ,X ,Q,160.00,169.00,160.00,168.20,168.20,164.60,124,8059,1340798.00,
506261,MODISON MET.,X ,Q,46.60,46.60,44.45,45.70,45.80,45.00,28,1445,65513.00,
506285,BAYER CROP  ,A ,Q,4264.65,4291.00,4162.60,4202.60,4166.65,4256.15,147,971,4111690.00,
506390,CLARI CHEM  ,B ,Q,418.85,419.60,407.10,409.25,409.25,416.90,130,2361,968870.00,
506395,COROM INTER ,A ,Q,449.95,454.30,443.10,445.55,446.00,446.55,427,10270,4618238.00,
506401,DEEPAK NITR.,B ,Q,229.00,231.70,224.00,224.95,224.95,230.00,1357,34327,7789506.00,
506405,DHARAMSI CHM,X ,Q,139.45,141.90,136.00,137.85,136.50,139.20,83,4942,688889.00,XD
506414,DIL LTD     ,X ,Q,1005.90,1027.50,1001.00,1008.30,1008.30,1006.80,163,5944,6038791.00,
506480,GOCLCORP    ,B ,Q,307.80,309.45,305.80,309.45,309.45,311.70,7,9,2767.00,
